ElectionType,ElectionName,GeographyType,GeographyName,CountyName,FIPS,Vote,TotalVote
Senate,Kentucky,State,Kentucky,Fayette County,21067,0.667741055236227,102426.2052
Senate,Kentucky,State,Kentucky,Fleming County,21069,0.248424182435894,5030.5536
Senate,Kentucky,State,Kentucky,Floyd County,21071,0.255525718051404,11198.6586
Senate,Kentucky,State,Kentucky,Franklin County,21073,0.555888379204612,18371.1276
Senate,Kentucky,State,Kentucky,Fulton County,21075,0.370892518920204,1548.0306
Senate,Kentucky,State,Kentucky,Gallatin County,21077,0.25278585599158,2816.586
Senate,Kentucky,State,Kentucky,Garrard County,21079,0.251098094030736,6408.279
Senate,Kentucky,State,Kentucky,Grant County,21081,0.222810102719164,8235.7848
Senate,Kentucky,State,Kentucky,Graves County,21083,0.242874550160729,11996.3274
Senate,Kentucky,State,Kentucky,Grayson County,21085,0.241348401364797,8693.571
Senate,Kentucky,State,Kentucky,Green County,21087,0.176782130437867,4232.157
Senate,Kentucky,State,Kentucky,Greenup County,21089,0.3083636702036,12475.9476
Senate,Kentucky,State,Kentucky,Hancock County,21091,0.324489218539463,3310.0344
Senate,Kentucky,State,Kentucky,Hardin County,21093,0.427508990045509,34384.1832
Senate,Kentucky,State,Kentucky,Harlan County,21095,0.153922580962959,7502.1624
Senate,Kentucky,State,Kentucky,Harrison County,21097,0.320435173449065,6480.3312
Senate,Kentucky,State,Kentucky,Hart County,21099,0.253272492535244,6064.7574
Senate,Kentucky,State,Kentucky,Henderson County,21101,0.428714299940191,14140.4262
Senate,Kentucky,State,Kentucky,Henry County,21103,0.296386606860222,5786.01
Senate,Kentucky,State,Kentucky,Hickman County,21105,0.247461810161504,1491.99
Senate,Kentucky,State,Kentucky,Hopkins County,21107,0.306672367525424,14757.6006
Senate,Kentucky,State,Kentucky,Jackson County,21109,0.115454705007427,4267.8192
Senate,Kentucky,State,Kentucky,Jefferson County,21111,0.660050320991155,253000.0194
Senate,Kentucky,State,Kentucky,Jessamine County,21113,0.391265291433636,19037.0646
Senate,Kentucky,State,Kentucky,Johnson County,21115,0.186290007652951,6914.1
Senate,Kentucky,State,Kentucky,Kenton County,21117,0.468201449492692,57716.7234
Senate,Kentucky,State,Kentucky,Knott County,21119,0.256474758699472,4303.4814
Senate,Kentucky,State,Kentucky,Knox County,21121,0.183779508541821,9460.6722
Senate,Kentucky,State,Kentucky,LaRue County,21123,0.249553720382432,5212.5036
Senate,Kentucky,State,Kentucky,Laurel County,21125,0.191767625955791,20053.0734
Senate,Kentucky,State,Kentucky,Lawrence County,21127,0.208910085727556,4736.5224
Senate,Kentucky,State,Kentucky,Lee County,21129,0.201259087127388,1916.2974
Senate,Kentucky,State,Kentucky,Leslie County,21131,0.119019677138584,3122.262
Senate,Kentucky,State,Kentucky,Letcher County,21133,0.227239759395569,6044.379
Senate,Kentucky,State,Kentucky,Lewis County,21135,0.155553797637107,4121.5314
Senate,Kentucky,State,Kentucky,Lincoln County,21137,0.245545470139538,7942.4814
Senate,Kentucky,State,Kentucky,Livingston County,21139,0.233445883696988,3571.3146
Senate,Kentucky,State,Kentucky,Logan County,21141,0.282019826702135,8991.2412
Senate,Kentucky,State,Kentucky,Lyon County,21143,0.291779029566411,3010.9086
Senate,Kentucky,State,Kentucky,McCracken County,21151,0.397501618109031,22954.812
Senate,Kentucky,State,Kentucky,McCreary County,21153,0.138061997268274,4491.9816
Senate,Kentucky,State,Kentucky,McLean County,21155,0.276427736602169,3323.8626
Senate,Kentucky,State,Kentucky,Madison County,21157,0.418684532649951,32248.818
Senate,Kentucky,State,Kentucky,Magoffin County,21159,0.22659883797807,3782.3766
Senate,Kentucky,State,Kentucky,Marion County,21161,0.349202063017554,6540.0108
Senate,Kentucky,State,Kentucky,Marshall County,21145,0.272144607246184,12646.9806
Senate,Kentucky,State,Kentucky,Martin County,21147,0.106070046990012,2641.914
Senate,Kentucky,State,Kentucky,Mason County,21149,0.347925947793706,5670.2898
Senate,Kentucky,State,Kentucky,Meade County,21163,0.298902873866345,10122.9702
Senate,Kentucky,State,Kentucky,Menifee County,21165,0.263658824421687,2348.6106
Senate,Kentucky,State,Kentucky,Mercer County,21167,0.307679916913813,8489.0592
Senate,Kentucky,State,Kentucky,Metcalfe County,21169,0.225472624417406,3697.9518
Senate,Kentucky,State,Kentucky,Monroe County,21171,0.145403339533057,3824.589
Senate,Kentucky,State,Kentucky,Montgomery County,21173,0.330938478269274,9192.8418
Senate,Kentucky,State,Kentucky,Morgan County,21175,0.229667237116667,3851.5176
Senate,Kentucky,State,Kentucky,Muhlenberg County,21177,0.286505261590195,9853.6842
Senate,Kentucky,State,Kentucky,Nelson County,21179,0.359367070266804,16424.2626
Senate,Kentucky,State,Kentucky,Nicholas County,21181,0.317243880484637,2383.545
Senate,Kentucky,State,Kentucky,Ohio County,21183,0.250074263703433,7840.5894
Senate,Kentucky,State,Kentucky,Oldham County,21185,0.463664280876277,27239.3706
Senate,Kentucky,State,Kentucky,Owen County,21187,0.235455059087659,3946.1316
Senate,Kentucky,State,Kentucky,Owsley County,21189,0.147236367723954,1330.4184
Senate,Kentucky,State,Kentucky,Pendleton County,21191,0.230182410056259,4951.2234
Senate,Kentucky,State,Kentucky,Perry County,21193,0.255613850810936,7189.9362
Senate,Kentucky,State,Kentucky,Pike County,21195,0.22034323905296,17255.4102
Senate,Kentucky,State,Kentucky,Powell County,21197,0.283939559782964,3832.5948
Senate,Kentucky,State,Kentucky,Pulaski County,21199,0.221118742985948,22854.3756
Senate,Kentucky,State,Kentucky,Robertson County,21201,0.245145687621113,822.414
Senate,Kentucky,State,Kentucky,Rockcastle County,21203,0.170393129513277,5546.5638
Senate,Kentucky,State,Kentucky,Rowan County,21205,0.436195313682145,7065.4824
Senate,Kentucky,State,Kentucky,Russell County,21207,0.178711261707127,6420.6516
Senate,Kentucky,State,Kentucky,Scott County,21209,0.436359719033527,21286.6944
